,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
666,0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",34,stores,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
667,no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM,1 <= ... < 4 years,1,male : single,none,1,real estate,27,stores,own,1,skilled employee / official,1,none,yes,good
668,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,... < 100 DM,... >= 7 years,3,male : single,co-applicant,4,building society savings agreement/ life insurance,43,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
669,... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,none,yes,good
670,no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,good
671,no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
672,no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
673,no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,own,1,skilled employee / official,1,none,yes,good
674,no checking account,21,delay in paying off in the past,business,2580,500 <= ... < 1000 DM,... < 1 year,4,male : single,none,2,real estate,41,bank,own,1,unskilled - resident,2,none,yes,bad
675,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
676,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
677,0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,own,1,skilled employee / official,1,none,yes,bad
678,... < 0 DM,24,existing credits paid back duly till now,radio/television,2384,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,64,bank,rent,1,unskilled - resident,1,none,yes,good
679,no checking account,18,existing credits paid back duly till now,radio/television,1453,... < 100 DM,... < 1 year,3,male : single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,good
680,no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,1,male : single,none,2,unknown / no property,56,none,own,1,skilled employee / official,1,none,yes,good
681,no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
682,no checking account,15,delay in paying off in the past,radio/television,1478,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,33,bank,own,2,skilled employee / official,1,none,yes,good
683,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,... < 100 DM,... < 1 year,3,male : single,none,3,unknown / no property,47,none,for free,3,skilled employee / official,1,"yes, registered under the customers name",yes,good
684,0 <= ... < 200 DM,36,delay in paying off in the past,business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,good
685,no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,34,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
686,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
687,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,3,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,good
688,no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,... >= 7 years,3,male : single,co-applicant,4,"car or other, not in attribute Savings account/bonds",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
689,... < 0 DM,12,existing credits paid back duly till now,car (new),3651,... >= 1000 DM,1 <= ... < 4 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,2,none,yes,good
690,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,... < 100 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/ life insurance,25,none,own,2,skilled employee / official,1,none,yes,good
691,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,good
692,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= ... < 500 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",29,none,own,1,skilled employee / official,1,none,yes,good
693,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year,1,male : single,none,3,real estate,44,none,own,2,unskilled - resident,2,none,yes,good
694,no checking account,24,existing credits paid back duly till now,radio/television,2284,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
695,no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,50,none,rent,1,skilled employee / official,1,none,yes,good
696,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1103,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,29,none,own,2,skilled employee / official,1,none,no,good
697,no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,... < 100 DM,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,38,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,good
698,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,own,2,skilled employee / official,1,none,yes,good
699,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,1905,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
700,no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",29,none,rent,1,unskilled - resident,1,none,yes,bad
701,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6331,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,46,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
702,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,unknown / no property,47,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
703,0 <= ... < 200 DM,30,delay in paying off in the past,business,2503,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,41,stores,own,2,skilled employee / official,1,none,yes,good
704,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,2528,... < 100 DM,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
705,no checking account,15,existing credits paid back duly till now,car (new),5324,500 <= ... < 1000 DM,... >= 7 years,1,male : single,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,none,yes,good
706,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,1,none,yes,bad
707,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,... < 100 DM,... < 1 year,4,male : single,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee / official,1,none,yes,bad
708,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1206,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,25,none,own,1,skilled employee / official,1,none,yes,good
709,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2118,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,37,none,own,1,unskilled - resident,2,none,yes,good
